"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"210","Bruno Cosendey (MEI)","Vasco","4,32",6,"3,05","0,00","0,00",5,1,1,0,3,2,2,0,0,0,0,0,0,0,0,7,0,14
"211","Diogo Barbosa (LAT)","Palmeiras","8,94",11,"3,05","0,10","-0,19",18,0,2,3,5,0,0,0,0,0,0,0,3,0,0,17,0,22
"212","Gabriel (MEI)","Sport","6,36",14,"3,04","3,30","-0,93",10,2,1,0,21,7,5,0,0,0,0,0,1,0,0,10,1,27
"213","Ronaldo Alves (ZAG)","Sport","6,65",13,"3,03","3,00","0,53",14,0,0,4,17,6,1,0,0,0,0,0,3,0,0,11,1,14
"214","Thiago Heleno (ZAG)","Atlético-PR","8,87",10,"3,02","0,00","0,00",9,1,0,3,8,3,1,1,0,0,1,0,1,0,0,13,0,11
"215","Lucas Fernandes (ATA)","Vitória","6,07",9,"3,02","0,00","0,00",6,1,0,0,16,2,2,2,0,0,0,0,0,0,0,5,0,18
"216","Jonathan (LAT)","Atlético-PR","8,33",6,"3,00","0,00","0,00",4,0,2,1,2,0,0,0,0,0,0,0,1,0,0,1,0,5
"217","Thiago Martins (ZAG)","Palmeiras","4,55",5,"3,00","0,00","0,00",4,0,0,2,1,1,1,0,0,0,0,0,0,0,0,4,0,5
"218","Ralf (MEI)","Corinthians","8,96",1,"3,00","0,00","0,00",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"219","Leandro Damião (ATA)","Internacional","7,26",11,"2,98","2,00","0,05",3,2,1,0,11,15,11,0,0,0,0,0,3,0,0,18,4,21
"220","Élber (MEI)","Bahia","5,32",10,"2,97","0,00","0,00",9,1,2,0,13,0,9,0,0,0,0,0,4,0,0,5,1,27
"221","Bruno Bispo (ZAG)","Vitória","4,18",2,"2,95","0,00","0,00",3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,0,2
"222","Torito González (MEI)","Paraná","4,40",10,"2,94","-1,00","-0,48",21,0,0,0,22,5,1,0,0,0,0,0,4,0,0,15,0,9
"223","Igor (LAT)","Paraná","3,28",7,"2,93","0,00","0,00",10,0,0,2,4,3,0,0,0,0,0,0,1,0,0,5,1,13
"224","Pedro Henrique (ZAG)","Corinthians","5,33",6,"2,93","0,00","0,00",7,0,0,2,6,3,0,0,0,0,0,0,2,0,0,5,0,6
"225","Luiz Otávio (ZAG)","Ceará","7,77",13,"2,92","0,00","0,00",23,0,0,3,7,1,0,0,0,0,0,0,4,0,0,8,0,13
"226","Everton Felipe (MEI)","Sport","5,47",6,"2,92","0,00","0,00",5,1,0,0,9,1,3,0,0,0,0,0,0,0,0,3,0,18
"227","Rafael Thyere (ZAG)","Chapecoense","4,05",14,"2,91","1,20","-0,76",20,0,0,5,9,0,0,0,0,0,0,0,4,0,0,7,1,23
"228","João Ricardo (GOL)","América-MG","4,69",6,"2,90","-2,10","-1,50",0,0,0,1,1,0,0,0,12,0,0,0,0,0,11,0,0,7
"229","Henrique (MEI)","Cruzeiro","9,30",9,"2,84","3,20","0,14",19,0,0,0,13,5,1,0,0,0,0,0,3,0,0,10,0,12
"230","Tiago Nunes (TEC)","Atlético-PR","8,52",2,"2,84","0,00","0,00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231","Marlone (MEI)","Sport","8,20",14,"2,84","-0,30","-0,26",8,1,2,0,21,7,8,0,0,0,0,0,1,0,0,6,1,35
"232","Éverton Ribeiro (MEI)","Flamengo","5,38",12,"2,83","3,80","0,35",14,2,1,0,23,8,6,0,0,0,0,1,3,0,0,22,0,37
"233","Régis (LAT)","São Paulo","6,86",6,"2,82","0,00","0,00",10,0,0,2,2,1,1,0,0,0,0,0,2,0,0,7,0,12
"234","Elicarlos (MEI)","Chapecoense","5,50",12,"2,82","3,60","0,27",18,1,0,0,26,4,2,0,0,0,0,0,2,0,0,20,0,19
"235","Thiago Galhardo (MEI)","Vasco","7,19",6,"2,80","0,00","0,00",5,0,2,0,8,3,2,1,0,0,0,0,3,0,0,7,0,10
"236","Felipe Azevedo (ATA)","Ceará","5,48",12,"2,79","0,00","0,00",9,1,2,0,15,5,4,0,0,0,0,0,0,0,0,11,1,28
"237","Terans (MEI)","Atlético-MG","5,68",3,"2,77","11,10","3,33",4,0,1,0,2,1,1,0,0,0,0,0,1,0,0,5,0,4
"238","Jean (MEI)","Botafogo","2,88",4,"2,77","0,00","0,00",6,0,1,0,9,0,0,0,0,0,0,0,1,0,0,6,0,8
"239","Claudio Winck (LAT)","Sport","3,96",6,"2,75","0,00","0,00",5,1,0,1,8,2,2,0,0,0,0,0,1,0,0,11,0,15
"240","William Pottker (ATA)","Internacional","4,24",13,"2,75","3,80","-0,67",13,2,0,0,21,9,7,0,0,0,0,1,2,0,0,11,7,26
"241","Léo Santos (ZAG)","Corinthians","2,57",2,"2,75","5,50","1,04",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"242","Lucas (LAT)","Vitória","6,50",6,"2,72","0,00","0,00",5,1,0,0,8,2,0,0,0,0,0,0,0,0,0,3,0,11
"243","Júlio César (GOL)","Fluminense","6,00",15,"2,70","11,00","1,50",0,0,0,4,1,0,0,0,21,0,0,0,1,0,19,0,0,10
"244","Pachu (ATA)","Botafogo","2,55",1,"2,70","0,00","0,00",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"245","Kelvin (ATA)","Vasco","5,59",6,"2,70","0,00","0,00",1,1,2,0,4,1,0,0,0,0,0,0,1,0,0,4,0,7
"246","Rafael Pereira (ZAG)","Ceará","4,61",6,"2,70","0,00","0,00",7,0,0,1,6,2,0,0,0,0,0,0,0,0,0,2,1,8
"247","Rafael Moura (ATA)","América-MG","9,31",11,"2,69","-1,60","-0,43",2,3,2,0,9,4,6,0,0,0,0,0,3,0,0,17,3,21
"248","Nikão (MEI)","Atlético-PR","10,78",12,"2,69","0,00","0,00",7,1,1,0,19,9,7,1,0,0,0,0,2,0,0,8,4,31
"249","Marcelo Hermes (LAT)","Cruzeiro","4,18",5,"2,68","0,00","0,00",9,0,0,1,4,4,0,0,0,0,0,0,1,0,0,4,0,21
"250","Wellington Paulista (ATA)","Chapecoense","9,17",13,"2,67","0,00","0,00",9,3,2,0,18,15,2,0,0,0,0,0,6,0,0,26,6,27
"251","Ibañez (ZAG)","Fluminense","5,96",4,"2,67","8,20","1,51",6,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,7
"252","Brenner (ATA)","Botafogo","5,44",7,"2,67","0,00","0,00",2,1,0,0,13,4,3,0,0,0,0,0,0,0,0,5,2,7
"253","Lucas Fonseca (ZAG)","Bahia","6,75",13,"2,67","0,00","0,00",12,0,0,4,16,3,2,1,0,0,0,0,3,0,0,10,0,27
"254","Everson (ZAG)","Bahia","4,01",4,"2,67","0,00","0,00",4,0,0,1,2,2,0,1,0,0,0,0,1,0,0,2,1,8
"255","Canteros (MEI)","Chapecoense","7,52",15,"2,65","-0,60","-0,18",24,2,1,0,12,4,1,1,0,0,0,0,2,0,0,16,0,62
"256","Antônio Carlos  (ZAG)","Palmeiras","7,77",12,"2,65","0,70","-0,31",10,1,0,3,5,2,2,2,0,0,0,0,4,0,0,11,1,16
"257","Marcelo (MEI)","Botafogo","3,30",2,"2,65","0,00","0,00",2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,1
"258","Gabriel (ZAG)","Atlético-MG","6,86",14,"2,65","0,00","0,00",19,0,0,2,17,2,2,1,0,0,1,0,1,0,0,13,0,11
"259","Daniel Guedes  (LAT)","Santos","7,38",4,"2,65","0,00","0,00",6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,8
"260","Victor Luis (LAT)","Palmeiras","6,77",5,"2,64","0,00","0,00",6,0,0,1,3,2,2,0,0,0,0,0,1,0,0,2,0,11
"261","Gregore (MEI)","Bahia","7,70",13,"2,64","0,00","0,00",38,0,1,0,12,4,5,0,0,0,0,0,5,0,0,54,0,20
"262","Juan (ZAG)","Flamengo","7,20",3,"2,60","0,00","0,00",2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
"263","Renê Júnior (MEI)","Corinthians","5,85",4,"2,60","0,00","0,00",9,0,0,0,5,2,0,0,0,0,0,0,0,0,0,12,0,4
"264","Edimar (LAT)","São Paulo","3,64",5,"2,58","0,00","0,00",4,0,0,2,3,1,0,0,0,0,0,0,1,0,0,5,0,3
"265","Robinho (MEI)","Cruzeiro","5,88",14,"2,57","0,20","-1,42",19,1,3,0,16,8,2,0,0,0,0,0,4,0,0,19,2,46
