"","Nome","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"261","Reina (MEI)","Ceará","3,38",1,"1,90","1,90","0,38",NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"262","Bruno Henrique (MEI)","Palmeiras","7,51",1,"1,90","1,90","-1,49",2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2
"263","Sander (LAT)","Sport","6,82",1,"1,90","1,90","-1,18",1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"264","Arthur  (ATA)","Chapecoense","6,75",1,"1,80","1,80","-1,25",NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"265","Willian Farias (MEI)","Vitória","4,68",1,"1,80","1,80","-0,32",NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Rafael Galhardo (LAT)","Vasco","4,00",1,"1,80","1,80","0,00",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"267","Thiago Neves (MEI)","Cruzeiro","17,71",1,"1,70","1,70","-6,29",NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"268","Antônio Carlos  (ZAG)","Palmeiras","7,37",1,"1,70","1,70","-1,63",1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"269","Keno (ATA)","Palmeiras","8,06",1,"1,70","1,70","-1,94",3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6
"270","Joel Carli (ZAG)","Botafogo","6,61",1,"1,60","1,60","-1,39",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3
"271","Andrigo (MEI)","Sport","6,61",1,"1,60","1,60","-1,39",1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3
"272","Silvinho (ATA)","Paraná","3,86",1,"1,60","1,60","-0,14",1,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2
"273","Marlone (MEI)","Sport","7,30",1,"1,60","1,60","-1,70",NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,1,NA,NA,1,1,1
