"","Nome","Posição","Clube","Preço","J","Média","Últ. Pont.","Variação","RB","G","A","SG","FS","FF","FD","FT","DD","DP","GC","CV","CA","PP","GS","FC","I","PE"
"151","Gilson","LAT","Botafogo","8,20",6,"4,22","0,00","0,00",14,1,0,0,14,1,1,0,0,0,0,0,1,0,0,7,0,24
"152","Guto Ferreira","TEC","Bahia","9,49",7,"4,21","7,19","1,10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","Igor","LAT","Paraná","2,55",1,"4,20","0,00","0,00",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
"154","Adilson","MEI","Atlético-MG","7,40",6,"4,18","5,90","0,99",22,0,0,0,10,0,0,0,0,0,0,0,2,0,0,10,0,13
"155","Pablo","ATA","Atlético-PR","9,30",7,"4,15","0,10","-0,22",6,3,0,0,3,7,3,0,0,0,0,0,1,0,0,15,5,9
"156","Cazares","MEI","Atlético-MG","10,18",5,"4,12","3,10","0,40",4,0,2,0,1,7,6,0,0,0,0,0,1,0,0,5,0,14
"157","Ezequiel ","LAT","Cruzeiro","4,41",2,"4,10","0,00","0,00",5,0,0,1,3,0,0,0,0,0,0,0,1,0,0,4,0,6
"158","Arboleda","ZAG","São Paulo","10,43",5,"4,06","5,90","0,37",12,0,0,1,3,4,2,0,0,0,0,0,2,0,0,7,1,6
"159","Osmar Loss","TEC","Corinthians","11,50",1,"4,05","4,05","-1,47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","Mateus Vital","MEI","Corinthians","7,39",7,"4,05","11,70","1,70",6,1,1,0,10,1,3,0,0,0,0,0,0,0,0,2,1,5
"161","Enderson Moreira","TEC","América-MG","10,02",7,"4,03","0,76","-0,73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","Alison","MEI","Santos","9,00",5,"4,02","0,00","0,00",17,0,0,0,6,1,0,0,0,0,0,0,1,0,0,9,0,9
"163","Élber","MEI","Bahia","6,40",5,"4,02","8,10","1,25",5,1,1,0,9,0,4,0,0,0,0,0,2,0,0,3,0,14
"164","Nikão","MEI","Atlético-PR","11,91",6,"3,95","-0,80","-1,29",4,1,0,0,14,4,6,0,0,0,0,0,0,0,0,5,2,14
"165","Carlinhos","LAT","América-MG","12,58",4,"3,95","0,00","0,00",5,1,0,1,2,1,3,0,0,0,0,0,1,0,0,11,1,7
"166","Renato Chaves","ZAG","Fluminense","7,14",7,"3,94","0,70","-1,69",17,0,0,2,4,0,1,0,0,0,0,0,1,0,0,8,0,17
"167","Elton","MEI","Bahia","8,84",6,"3,93","4,00","0,56",20,0,1,0,1,4,1,0,0,0,0,0,1,0,0,22,0,11
"168","Gabriel","ATA","Santos","12,10",6,"3,90","2,90","0,28",5,2,0,0,11,9,2,0,0,0,0,0,1,0,0,11,4,19
"169","Marcinho","LAT","Botafogo","6,94",7,"3,90","2,10","0,06",12,0,3,0,3,3,1,0,0,0,0,0,1,0,0,5,0,21
"170","Tiago Alves","ZAG","Ceará","4,41",2,"3,85","0,00","0,00",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
"171","Marcos Guilherme ","ATA","São Paulo","10,31",4,"3,85","0,00","0,00",8,0,0,0,3,3,2,0,0,0,0,0,0,0,0,3,1,3
"172","Cuéllar","MEI","Flamengo","9,43",6,"3,82","0,00","0,00",22,0,1,0,2,1,0,0,0,0,0,1,2,0,0,11,0,8
"173","Jhonny Lucas","MEI","Paraná","5,59",5,"3,80","3,20","0,57",12,1,0,0,6,3,3,0,0,0,0,0,2,0,0,18,0,10
"174","Lucas Veríssimo","ZAG","Santos","8,96",5,"3,78","0,00","0,00",10,0,0,1,5,1,1,0,0,0,0,0,1,0,0,2,1,7
"175","Fernando Diniz","TEC","Atlético-PR","9,90",7,"3,76","2,58","0,20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","Luan","ATA","América-MG","11,03",6,"3,75","0,30","-0,20",11,0,2,0,14,6,1,0,0,0,0,0,2,0,0,15,2,15
